date,blt,db,meitan,day,rs,ss,ds,epu,cpind,cphb,var1,vix,wti,shibor,er,stock
2014-4-28,109.3,106.29,570,28-Apr-14,4.5134,-0.295588,-0.336172,69.15,28.347153,24.49,2014-4-28,13.97,100.9,2.46,6.25,-1.62
2014-4-29,110,105.3,570,29-Apr-14,-2.08318,-0.377883,0.477319,107.95,27.821978,24.25,2014-4-29,13.71,101.08,2.64,6.26,0.84
2014-4-30,108.5,104.5,570,30-Apr-14,-2.87256,-0.773709,-0.989737,114.32,25.981511,24.36,2014-4-30,13.41,99.77,2.28,6.26,0.3
2014-5-5,,104.7,570,5-May-14,2.00657,-0.671314,0.535288,159.75,28.023765,24.19,2014-5-5,13.29,99.41,2.37,6.25,0.05
2014-5-6,108.5,103.9,570,6-May-14,3.27654,-0.166809,0.861514,90.35,26.259477,23.83,2014-5-6,13.8,99.69,2.37,6.23,0.03
2014-5-7,108.3,103.6,570,7-May-14,-3.25406,0.484061,0.372892,164.6,26.204382,23.77,2014-5-7,13.4,100.74,2.37,6.23,-0.89
2014-5-8,108.4,104.1,570,8-May-14,-0.568253,1.14542,-2.30255,129.05,29.458972,23.73,2014-5-8,13.43,100.15,2.23,6.23,0.26
2014-5-9,108.3,105,570,9-May-14,-4.49196,0.021579,-0.636879,107.22,30.060551,23.73,2014-5-9,12.92,100.04,2.22,6.23,-0.21
2014-5-12,108.1,104.4,570,12-May-14,-6.45175,0.00894,0.068211,176.33,28.060993,23.62,2014-5-12,12.23,100.62,2.32,6.24,2.08
2014-5-13,108.9,,570,13-May-14,-2.04822,0.759466,0.213883,124.1,27.243068,23.6,2014-5-13,12.13,101.74,2.4,6.23,-0.1
2014-5-14,109.9,105.7,570,14-May-14,-0.647973,0.664487,-0.429564,127.32,34.556774,23.72,2014-5-14,12.17,102.15,2.4,6.23,-0.14
2014-5-15,109.8,105.8,570,15-May-14,7.01446,0.034662,-0.18284,135.46,25.117548,24.01,2014-5-15,13.17,101.52,2.39,6.23,-1.12
2014-5-16,111.2,105.8,570,16-May-14,-5.90656,1.00272,-1.24816,81.14,27.97719,23.96,2014-5-16,12.44,102.03,2.37,6.23,0.08
2014-5-19,110.7,106.5,570,19-May-14,-1.3101,0.224353,0.279447,185.55,27.038351,23.95,2014-5-19,12.42,102.61,2.4,6.24,-1.05
2014-5-20,110.4,106.1,560,20-May-14,3.38587,0.319245,0.114939,146.94,34.762079,24.03,2014-5-20,12.96,102.79,2.47,6.24,0.15
2014-5-21,111.2,106.6,560,21-May-14,-8.91861,0.902684,-0.189498,101.24,24.818849,23.81,2014-5-21,11.91,104.3,2.45,6.23,0.84
2014-5-22,111.3,107,560,22-May-14,-0.445865,0.168756,-0.302475,90.94,35.288741,24.31,2014-5-22,12.03,104.29,2.51,6.24,-0.18
2014-5-23,110.8,106.9,560,23-May-14,-6.63052,1.12474,-1.24792,96.69,33.970525,23.9,2014-5-23,11.36,105,2.43,6.24,0.66
2014-5-27,110.1,106.8,560,27-May-14,-0.11885,-1.19036,0.477203,182.32,29.779808,23.89,2014-5-27,11.51,104.18,2.54,6.25,-0.34
2014-5-30,109.1,106.3,560,30-May-14,-1.95536,-2.97068,1.81025,119.36,29.44742,23.91,2014-5-30,11.4,102.75,2.57,6.25,-0.07
2014-6-3,109.1,105.9,560,3-Jun-14,2.90678,-0.090733,0.39333,94.45,25.703959,23.93,2014-6-3,11.87,102.77,2.64,6.25,-0.02
2014-6-4,109.2,105.7,560,4-Jun-14,1.02542,-0.242895,0.068177,82.42,26.047598,23.98,2014-6-4,12.08,102.52,2.6,6.25,-0.68
2014-6-5,108.3,104.5,555,5-Jun-14,-4.16584,-0.261569,-0.04003,147.19,53.51617,23.94,2014-6-5,11.68,102.57,2.58,6.25,0.79
2014-6-6,108.8,105.4,555,6-Jun-14,-9.68973,0.054585,-0.733777,134.09,47.630656,23.62,2014-6-6,10.73,102.82,2.59,6.25,-0.54
2014-6-9,110.3,105.1,555,9-Jun-14,2.07164,1.42537,0.31064,272.71,33.038879,23.73,2014-6-9,11.15,104.41,2.63,6.24,0.03
2014-6-10,109.1,105.7,555,10-Jun-14,-2.38829,0.375024,-0.780099,93.9,52.18467,23.68,2014-6-10,10.99,104.38,2.57,6.23,1.09
2014-6-11,109.8,106,555,11-Jun-14,4.14644,-0.893187,1.63807,100.28,30.490453,23.64,2014-6-11,11.6,104.48,2.59,6.23,0.12
2014-6-12,112.2,107,555,12-Jun-14,7.23934,1.12568,1.72013,99.7,40.006998,23.52,2014-6-12,12.56,106.53,2.6,6.22,-0.16
2014-6-13,112.8,109.6,555,13-Jun-14,-3.3861,-0.483706,0.413698,116.8,42.689949,23.39,2014-6-13,12.18,106.66,2.64,6.21,0.93
2014-6-16,113.3,109.2,550,16-Jun-14,2.73727,-0.120705,0.510108,161.72,46.429938,23.39,2014-6-16,12.65,106.76,2.7,6.23,0.74
2014-6-17,113.9,108.8,550,17-Jun-14,-5.34909,-0.274929,-0.789006,92.7,43.621127,22.86,2014-6-17,12.06,106.27,2.61,6.23,-0.92
2014-6-18,114.3,110,550,18-Jun-14,-14.0055,-0.506968,-0.88,104.5,50.552855,22.89,2014-6-18,10.61,106.16,2.68,6.23,-0.54
2014-6-19,115.3,110.5,550,19-Jun-14,-1.96908,-0.257161,0.659077,129.36,40.301009,22.92,2014-6-19,10.62,106.62,2.7,6.23,-1.55
2014-6-20,114.5,110.7,550,20-Jun-14,0.823653,0.203524,0.876042,101.74,59.648868,22.92,2014-6-20,10.85,107.53,2.81,6.23,0.15
2014-6-23,113.1,111.2,550,23-Jun-14,0.100082,-0.953007,0.206671,94.34,46.316439,22.91,2014-6-23,10.98,106.7,2.9,6.23,-0.11
2014-6-24,113.7,109.8,550,24-Jun-14,8.85613,1.83757,-1.70994,123.15,62.257373,23.11,2014-6-24,12.13,106.54,2.97,6.23,0.47
2014-6-25,,110.1,545,25-Jun-14,-4.859,0.385391,-0.124046,96.58,50.899842,23.05,2014-6-25,11.59,107.27,3.01,6.23,-0.41
2014-6-26,112.4,109.9,545,26-Jun-14,-0.924646,-1.44641,-0.205261,121.61,53.701191,22.73,2014-6-26,11.63,105.66,4.2,6.23,0.65
2014-6-27,112.1,109.7,545,27-Jun-14,-4.25083,0.179506,-0.6143,105.89,56.622698,22.62,2014-6-27,11.26,105.71,3,6.22,-0.11
2014-6-30,111,109.2,545,30-Jun-14,1.40888,-0.539228,0.420446,99.67,40.84841,22.74,2014-6-30,11.57,105.4,3.01,6.21,0.58
